output/wavepoints_0.csv: x0=20, z0=0, v0=30, angle_y=20, dir_angle=20, spin_y=-30
output/wavepoints_1.csv: x0=20, z0=0, v0=30, angle_y=20, dir_angle=10, spin_y=-10
output/wavepoints_2.csv: x0=20, z0=0, v0=30, angle_y=20, dir_angle=0, spin_y=0
output/wavepoints_3.csv: x0=20, z0=0, v0=30, angle_y=20, dir_angle=-20, spin_y=40
output/wavepoints_4.csv: x0=20, z0=7, v0=30, angle_y=20, dir_angle=20, spin_y=-40
output/wavepoints_5.csv: x0=20, z0=7, v0=30, angle_y=20, dir_angle=-10, spin_y=10
output/wavepoints_6.csv: x0=20, z0=7, v0=30, angle_y=20, dir_angle=-20, spin_y=30
output/wavepoints_7.csv: x0=20, z0=7, v0=30, angle_y=20, dir_angle=-30, spin_y=50
output/wavepoints_8.csv: x0=20, z0=7, v0=30, angle_y=20, dir_angle=-30, spin_y=60
output/wavepoints_9.csv: x0=20, z0=14, v0=22, angle_y=30, dir_angle=30, spin_y=-50
output/wavepoints_10.csv: x0=20, z0=14, v0=22, angle_y=30, dir_angle=20, spin_y=-30
output/wavepoints_11.csv: x0=20, z0=14, v0=22, angle_y=30, dir_angle=10, spin_y=-10
output/wavepoints_12.csv: x0=20, z0=14, v0=22, angle_y=30, dir_angle=0, spin_y=0
output/wavepoints_13.csv: x0=20, z0=14, v0=22, angle_y=30, dir_angle=-10, spin_y=10
output/wavepoints_14.csv: x0=20, z0=14, v0=22, angle_y=30, dir_angle=-20, spin_y=20
output/wavepoints_15.csv: x0=20, z0=14, v0=22, angle_y=30, dir_angle=-20, spin_y=30
output/wavepoints_16.csv: x0=20, z0=14, v0=22, angle_y=30, dir_angle=-30, spin_y=40
output/wavepoints_17.csv: x0=20, z0=14, v0=22, angle_y=30, dir_angle=-30, spin_y=50
output/wavepoints_18.csv: x0=20, z0=14, v0=22, angle_y=30, dir_angle=-30, spin_y=60
output/wavepoints_19.csv: x0=20, z0=21, v0=22, angle_y=20, dir_angle=30, spin_y=-60
output/wavepoints_20.csv: x0=20, z0=21, v0=22, angle_y=20, dir_angle=-20, spin_y=50
output/wavepoints_21.csv: x0=20, z0=21, v0=22, angle_y=20, dir_angle=-20, spin_y=60
output/wavepoints_22.csv: x0=20, z0=28, v0=22, angle_y=20, dir_angle=20, spin_y=-60
output/wavepoints_23.csv: x0=20, z0=28, v0=22, angle_y=20, dir_angle=30, spin_y=-60
output/wavepoints_24.csv: x0=20, z0=28, v0=22, angle_y=20, dir_angle=20, spin_y=-50
output/wavepoints_25.csv: x0=20, z0=28, v0=22, angle_y=20, dir_angle=-30, spin_y=50
output/wavepoints_26.csv: x0=20, z0=28, v0=22, angle_y=20, dir_angle=-20, spin_y=50
output/wavepoints_27.csv: x0=20, z0=28, v0=22, angle_y=20, dir_angle=-10, spin_y=50
output/wavepoints_28.csv: x0=20, z0=28, v0=22, angle_y=20, dir_angle=-30, spin_y=60
output/wavepoints_29.csv: x0=20, z0=28, v0=22, angle_y=20, dir_angle=-20, spin_y=60
output/wavepoints_30.csv: x0=20, z0=35, v0=22, angle_y=20, dir_angle=20, spin_y=-60
output/wavepoints_31.csv: x0=20, z0=35, v0=22, angle_y=20, dir_angle=30, spin_y=-60
output/wavepoints_32.csv: x0=20, z0=35, v0=22, angle_y=20, dir_angle=10, spin_y=-50
output/wavepoints_33.csv: x0=20, z0=35, v0=22, angle_y=20, dir_angle=20, spin_y=-50
output/wavepoints_34.csv: x0=20, z0=35, v0=22, angle_y=20, dir_angle=30, spin_y=-50
output/wavepoints_35.csv: x0=20, z0=35, v0=22, angle_y=20, dir_angle=-30, spin_y=50
output/wavepoints_36.csv: x0=20, z0=35, v0=22, angle_y=20, dir_angle=-20, spin_y=50
output/wavepoints_37.csv: x0=20, z0=35, v0=22, angle_y=20, dir_angle=-10, spin_y=50
output/wavepoints_38.csv: x0=20, z0=35, v0=22, angle_y=20, dir_angle=-30, spin_y=60
output/wavepoints_39.csv: x0=20, z0=35, v0=22, angle_y=20, dir_angle=-20, spin_y=60
output/wavepoints_40.csv: x0=20, z0=42, v0=22, angle_y=20, dir_angle=20, spin_y=-60
output/wavepoints_41.csv: x0=20, z0=42, v0=22, angle_y=20, dir_angle=30, spin_y=-60
output/wavepoints_42.csv: x0=20, z0=42, v0=22, angle_y=20, dir_angle=20, spin_y=-50
output/wavepoints_43.csv: x0=20, z0=42, v0=22, angle_y=20, dir_angle=30, spin_y=-50
output/wavepoints_44.csv: x0=20, z0=42, v0=22, angle_y=20, dir_angle=-20, spin_y=50
output/wavepoints_45.csv: x0=20, z0=42, v0=22, angle_y=20, dir_angle=-30, spin_y=60
output/wavepoints_46.csv: x0=20, z0=42, v0=22, angle_y=20, dir_angle=-20, spin_y=60
output/wavepoints_47.csv: x0=20, z0=49, v0=22, angle_y=20, dir_angle=20, spin_y=-60
output/wavepoints_48.csv: x0=20, z0=49, v0=22, angle_y=20, dir_angle=20, spin_y=-50
output/wavepoints_49.csv: x0=20, z0=49, v0=22, angle_y=30, dir_angle=30, spin_y=-40
output/wavepoints_50.csv: x0=20, z0=49, v0=22, angle_y=20, dir_angle=-30, spin_y=60
output/wavepoints_51.csv: x0=20, z0=56, v0=22, angle_y=30, dir_angle=30, spin_y=-60
output/wavepoints_52.csv: x0=20, z0=56, v0=22, angle_y=30, dir_angle=30, spin_y=-50
output/wavepoints_53.csv: x0=20, z0=56, v0=22, angle_y=30, dir_angle=20, spin_y=-40
output/wavepoints_54.csv: x0=20, z0=56, v0=22, angle_y=30, dir_angle=20, spin_y=-30
output/wavepoints_55.csv: x0=20, z0=56, v0=22, angle_y=30, dir_angle=10, spin_y=-10
output/wavepoints_56.csv: x0=20, z0=56, v0=22, angle_y=30, dir_angle=0, spin_y=0
output/wavepoints_57.csv: x0=20, z0=56, v0=22, angle_y=30, dir_angle=-10, spin_y=10
output/wavepoints_58.csv: x0=20, z0=56, v0=22, angle_y=30, dir_angle=-20, spin_y=20
output/wavepoints_59.csv: x0=20, z0=56, v0=22, angle_y=30, dir_angle=-30, spin_y=50
output/wavepoints_60.csv: x0=20, z0=63, v0=30, angle_y=20, dir_angle=30, spin_y=-60
output/wavepoints_61.csv: x0=20, z0=63, v0=30, angle_y=20, dir_angle=30, spin_y=-50
output/wavepoints_62.csv: x0=20, z0=63, v0=30, angle_y=20, dir_angle=20, spin_y=-40
output/wavepoints_63.csv: x0=20, z0=63, v0=30, angle_y=20, dir_angle=20, spin_y=-30
output/wavepoints_64.csv: x0=20, z0=63, v0=30, angle_y=20, dir_angle=10, spin_y=-10
output/wavepoints_65.csv: x0=20, z0=63, v0=30, angle_y=20, dir_angle=0, spin_y=0
output/wavepoints_66.csv: x0=20, z0=63, v0=30, angle_y=20, dir_angle=-30, spin_y=60
output/wavepoints_67.csv: x0=30, z0=0, v0=30, angle_y=30, dir_angle=30, spin_y=-40
output/wavepoints_68.csv: x0=30, z0=0, v0=30, angle_y=30, dir_angle=10, spin_y=-10
output/wavepoints_69.csv: x0=30, z0=0, v0=30, angle_y=30, dir_angle=0, spin_y=0
output/wavepoints_70.csv: x0=30, z0=0, v0=30, angle_y=30, dir_angle=-10, spin_y=10
output/wavepoints_71.csv: x0=30, z0=0, v0=30, angle_y=30, dir_angle=-20, spin_y=20
output/wavepoints_72.csv: x0=30, z0=0, v0=30, angle_y=30, dir_angle=-30, spin_y=40
output/wavepoints_73.csv: x0=30, z0=7, v0=30, angle_y=20, dir_angle=10, spin_y=-10
output/wavepoints_74.csv: x0=30, z0=7, v0=30, angle_y=20, dir_angle=-10, spin_y=20
output/wavepoints_75.csv: x0=30, z0=7, v0=30, angle_y=20, dir_angle=-20, spin_y=40
output/wavepoints_76.csv: x0=30, z0=14, v0=30, angle_y=20, dir_angle=30, spin_y=-60
output/wavepoints_77.csv: x0=30, z0=14, v0=30, angle_y=20, dir_angle=30, spin_y=-50
output/wavepoints_78.csv: x0=30, z0=14, v0=30, angle_y=20, dir_angle=20, spin_y=-40
output/wavepoints_79.csv: x0=30, z0=14, v0=30, angle_y=20, dir_angle=20, spin_y=-30
output/wavepoints_80.csv: x0=30, z0=14, v0=30, angle_y=20, dir_angle=10, spin_y=-20
output/wavepoints_81.csv: x0=30, z0=14, v0=30, angle_y=20, dir_angle=10, spin_y=-10
output/wavepoints_82.csv: x0=30, z0=14, v0=30, angle_y=20, dir_angle=0, spin_y=0
output/wavepoints_83.csv: x0=30, z0=14, v0=30, angle_y=20, dir_angle=-10, spin_y=10
output/wavepoints_84.csv: x0=30, z0=14, v0=30, angle_y=20, dir_angle=-10, spin_y=20
output/wavepoints_85.csv: x0=30, z0=14, v0=30, angle_y=20, dir_angle=-20, spin_y=30
output/wavepoints_86.csv: x0=30, z0=14, v0=30, angle_y=20, dir_angle=-20, spin_y=40
output/wavepoints_87.csv: x0=30, z0=14, v0=30, angle_y=20, dir_angle=-30, spin_y=50
output/wavepoints_88.csv: x0=30, z0=14, v0=30, angle_y=20, dir_angle=-30, spin_y=60
output/wavepoints_89.csv: x0=30, z0=21, v0=30, angle_y=20, dir_angle=20, spin_y=-50
output/wavepoints_90.csv: x0=30, z0=21, v0=30, angle_y=20, dir_angle=-30, spin_y=50
output/wavepoints_91.csv: x0=30, z0=21, v0=30, angle_y=20, dir_angle=-30, spin_y=60
output/wavepoints_92.csv: x0=30, z0=28, v0=22, angle_y=30, dir_angle=30, spin_y=-40
output/wavepoints_93.csv: x0=30, z0=28, v0=22, angle_y=30, dir_angle=20, spin_y=-20
