x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
20.0000,0.0000,56.0000,ball,1,1,0.0000,50.0000,0.0000
19.8196,0.1087,55.9405,ball,1,1,0.0000,49.3947,0.0000
19.6402,0.2161,55.8796,ball,1,1,0.0000,48.7999,0.0000
19.4619,0.3223,55.8173,ball,1,1,0.0000,48.2151,0.0000
19.2846,0.4272,55.7536,ball,1,1,0.0000,47.6403,0.0000
19.1085,0.5308,55.6885,ball,1,1,0.0000,47.0752,0.0000
18.9333,0.6331,55.6222,ball,1,1,0.0000,46.5196,0.0000
18.7593,0.7342,55.5545,ball,1,1,0.0000,45.9732,0.0000
18.5862,0.8341,55.4856,ball,1,1,0.0000,45.4360,0.0000
18.4143,0.9327,55.4154,ball,1,1,0.0000,44.9077,0.0000
18.2434,1.0300,55.3440,ball,1,1,0.0000,44.3882,0.0000
18.0736,1.1262,55.2714,ball,1,1,0.0000,43.8771,0.0000
17.9048,1.2210,55.1976,ball,1,1,0.0000,43.3744,0.0000
17.7371,1.3147,55.1227,ball,1,1,0.0000,42.8800,0.0000
17.5704,1.4071,55.0467,ball,1,1,0.0000,42.3935,0.0000
17.4048,1.4984,54.9696,ball,1,1,0.0000,41.9148,0.0000
17.2402,1.5884,54.8914,ball,1,1,0.0000,41.4439,0.0000
17.0766,1.6772,54.8122,ball,1,1,0.0000,40.9805,0.0000
16.9142,1.7647,54.7319,ball,1,1,0.0000,40.5244,0.0000
16.7527,1.8511,54.6507,ball,1,1,0.0000,40.0756,0.0000
16.5923,1.9363,54.5684,ball,1,1,0.0000,39.6338,0.0000
16.4329,2.0203,54.4852,ball,1,1,0.0000,39.1990,0.0000
16.2745,2.1031,54.4011,ball,1,1,0.0000,38.7709,0.0000
16.1172,2.1848,54.3160,ball,1,1,0.0000,38.3495,0.0000
15.9609,2.2652,54.2300,ball,1,1,0.0000,37.9347,0.0000
15.8056,2.3445,54.1431,ball,1,1,0.0000,37.5262,0.0000
15.6513,2.4226,54.0554,ball,1,1,0.0000,37.1239,0.0000
15.4980,2.4995,53.9669,ball,1,1,0.0000,36.7278,0.0000
15.3457,2.5753,53.8775,ball,1,1,0.0000,36.3378,0.0000
15.1944,2.6499,53.7873,ball,1,1,0.0000,35.9536,0.0000
15.0442,2.7234,53.6963,ball,1,1,0.0000,35.5752,0.0000
14.8949,2.7957,53.6045,ball,1,1,0.0000,35.2024,0.0000
14.7466,2.8669,53.5120,ball,1,1,0.0000,34.8352,0.0000
14.5992,2.9369,53.4187,ball,1,1,0.0000,34.4734,0.0000
14.4529,3.0057,53.3247,ball,1,1,0.0000,34.1170,0.0000
14.3075,3.0735,53.2300,ball,1,1,0.0000,33.7658,0.0000
14.1631,3.1401,53.1346,ball,1,1,0.0000,33.4198,0.0000
14.0196,3.2056,53.0386,ball,1,1,0.0000,33.0788,0.0000
13.8771,3.2699,52.9418,ball,1,1,0.0000,32.7427,0.0000
13.7355,3.3331,52.8445,ball,1,1,0.0000,32.4114,0.0000
13.5949,3.3952,52.7464,ball,1,1,0.0000,32.0849,0.0000
13.4552,3.4562,52.6478,ball,1,1,0.0000,31.7631,0.0000
13.3165,3.5161,52.5486,ball,1,1,0.0000,31.4458,0.0000
13.1787,3.5748,52.4487,ball,1,1,0.0000,31.1330,0.0000
13.0418,3.6325,52.3483,ball,1,1,0.0000,30.8246,0.0000
12.9058,3.6891,52.2474,ball,1,1,0.0000,30.5205,0.0000
12.7708,3.7445,52.1458,ball,1,1,0.0000,30.2206,0.0000
12.6366,3.7989,52.0438,ball,1,1,0.0000,29.9249,0.0000
12.5034,3.8521,51.9412,ball,1,1,0.0000,29.6333,0.0000
12.3710,3.9043,51.8381,ball,1,1,0.0000,29.3457,0.0000
12.2395,3.9554,51.7345,ball,1,1,0.0000,29.0620,0.0000
12.1089,4.0054,51.6304,ball,1,1,0.0000,28.7821,0.0000
11.9792,4.0543,51.5258,ball,1,1,0.0000,28.5060,0.0000
11.8504,4.1021,51.4207,ball,1,1,0.0000,28.2336,0.0000
11.7224,4.1489,51.3152,ball,1,1,0.0000,27.9649,0.0000
11.5954,4.1946,51.2092,ball,1,1,0.0000,27.6998,0.0000
11.4691,4.2392,51.1028,ball,1,1,0.0000,27.4381,0.0000
11.3437,4.2828,50.9960,ball,1,1,0.0000,27.1799,0.0000
11.2192,4.3252,50.8887,ball,1,1,0.0000,26.9251,0.0000
11.0955,4.3667,50.7811,ball,1,1,0.0000,26.6736,0.0000
10.9726,4.4070,50.6730,ball,1,1,0.0000,26.4254,0.0000
10.8506,4.4463,50.5646,ball,1,1,0.0000,26.1803,0.0000
10.7294,4.4846,50.4558,ball,1,1,0.0000,25.9384,0.0000
10.6090,4.5218,50.3466,ball,1,1,0.0000,25.6996,0.0000
10.4894,4.5580,50.2370,ball,1,1,0.0000,25.4638,0.0000
10.3707,4.5931,50.1271,ball,1,1,0.0000,25.2310,0.0000
10.2527,4.6272,50.0169,ball,1,1,0.0000,25.0012,0.0000
10.1355,4.6602,49.9063,ball,1,1,0.0000,24.7742,0.0000
10.0192,4.6922,49.7954,ball,1,1,0.0000,24.5500,0.0000
9.9036,4.7231,49.6841,ball,1,1,0.0000,24.3286,0.0000
9.7888,4.7531,49.5726,ball,1,1,0.0000,24.1099,0.0000
9.6748,4.7819,49.4607,ball,1,1,0.0000,23.8939,0.0000
9.5616,4.8098,49.3486,ball,1,1,0.0000,23.6805,0.0000
9.4491,4.8366,49.2362,ball,1,1,0.0000,23.4697,0.0000
9.3374,4.8625,49.1235,ball,1,1,0.0000,23.2614,0.0000
9.2264,4.8873,49.0105,ball,1,1,0.0000,23.0556,0.0000
9.1162,4.9110,48.8972,ball,1,1,0.0000,22.8523,0.0000
9.0068,4.9338,48.7837,ball,1,1,0.0000,22.6513,0.0000
8.8981,4.9555,48.6699,ball,1,1,0.0000,22.4528,0.0000
8.7901,4.9763,48.5559,ball,1,1,0.0000,22.2565,0.0000
8.6829,4.9960,48.4417,ball,1,1,0.0000,22.0626,0.0000
8.5764,5.0147,48.3272,ball,1,1,0.0000,21.8709,0.0000
8.4707,5.0324,48.2124,ball,1,1,0.0000,21.6814,0.0000
8.3656,5.0491,48.0975,ball,1,1,0.0000,21.4940,0.0000
8.2613,5.0648,47.9824,ball,1,1,0.0000,21.3088,0.0000
8.1577,5.0795,47.8670,ball,1,1,0.0000,21.1257,0.0000
